,Climate,Case,Outage Type,24 hr Ratio,48 hr Ratio,168 hr Ratio,24 Avg ODB,48 Avg ODB,168 Avg ODB,Total 24 hr Radiation,Avg 24 hr Sky Cover,SET Hours
345,20-Feb,Chicago-MDW,Heating,0.17251952,0.216930488,0.270417326,1.076041667,1.7453125,6.16703869,850.75,10,318.99
347,20-Feb,Chicago-MDW,Heating,0.258309966,0.310534335,0.386169868,1.076041667,1.7453125,6.16703869,850.75,10,14.58
349,20-Feb,Chicago-MDW,Heating,0.11888068,0.150323767,0.176214635,1.076041667,1.7453125,6.16703869,850.75,10,0
351,20-Jan,Chicago-MDW,Heating,0.447102517,0.504772707,0.658286489,-2.975,-7.9984375,-7.45639881,3333.875,7.338541667,1278.73
353,20-Jan,Chicago-MDW,Heating,0.320260761,0.368191152,0.52638034,-2.975,-7.9984375,-7.45639881,3333.875,7.338541667,677.03
355,20-Jan,Chicago-MDW,Heating,0.166303967,0.184107571,0.310844958,-2.975,-7.9984375,-7.45639881,3333.875,7.338541667,318.99
357,20-Jan,Chicago-MDW,Heating,0.251479666,0.289587179,0.435506118,-2.975,-7.9984375,-7.45639881,3333.875,7.338541667,14.58
359,20-Jan,Chicago-MDW,Heating,0.112507902,0.124621818,0.223740745,-2.975,-7.9984375,-7.45639881,3333.875,7.338541667,0
361,20-Mar,Chicago-MDW,Heating,0.419937762,0.450650779,0.574377335,6.138020833,5.22734375,5.269568452,3226.5625,7.239583333,1278.73
363,20-Mar,Chicago-MDW,Heating,0.286288221,0.310317334,0.426790534,6.138020833,5.22734375,5.269568452,3226.5625,7.239583333,677.03
365,20-Mar,Chicago-MDW,Heating,0.134221689,0.143173472,0.223844256,6.138020833,5.22734375,5.269568452,3226.5625,7.239583333,318.99
367,20-Mar,Chicago-MDW,Heating,0.219904183,0.237691136,0.340355297,6.138020833,5.22734375,5.269568452,3226.5625,7.239583333,14.58
